Age,Gender,Monthly_Income,Occupation,City,Marital_Status,Owns_Vehicle,Vehicle_Type_Owned,Usage_Frequency,Primary_Use,Importance_Attributes,Preferred_Brands,Aware_Subscription,Willingness_Subscribe,Subscription_Budget,Motivating_Features,Preferred_Duration,Swap_Valuable,Subscription_Concerns,Hesitation_Reason,Vehicle_Change_Frequency,App_Comfort,Uses_Mobility_Apps,Expected_App_Features,NPS_Score
38,Male,62584,Retired,Brianport,Married,No,SUV,Rarely,Commute,"Fuel Type, Tech Features, Model Variety, Sustainability, Comfort","Toyota, Kia",Somewhat,Neutral,21454,"Easy swaps, Insurance included, No down payment",>1 year,Not Sure,Condition of vehicle,Listen risk pull left nearly season.,Every 2-3 years,Very Comfortable,No,"Offers/Discounts, Ratings",3.7
18,Other,40741,Working Professional,South Traceyton,Single,Yes,Other,Rarely,"Other, Business","Brand, Safety, Tech Features",Other,No,Likely,12438,"Roadside assistance, Insurance included, Monthly flexibility",<3 months,Yes,"Support, Insurance, Condition of vehicle",Myself kid break its respond drop know former notice possible.,I don’t care,Very Comfortable,Yes,"Ratings, Swap History",4.4
31,Female,41625,Freelancer,Aprilbury,Married,Yes,EV,Few times a week,Leisure,"Brand, Sustainability",Maruti,Yes,Very Likely,11388,"Easy swaps, Monthly flexibility",<3 months,No,"Trust, Insurance, Condition of vehicle",Growth serious tend see expert century option.,Once a year,Not Comfortable,No,"Swap History, Live Chat",3.2
19,Male,33497,Business Owner,South Malikfort,Married,Yes,EV,Daily,"Travel, Leisure",Safety,"Honda, Kia, BMW",Yes,Unlikely,16037,"Monthly flexibility, Insurance included, No down payment",3-6 months,Yes,"Return process, Cost",Until summer little student.,I don’t care,Very Comfortable,No,"Model Filters, Offers/Discounts, Live Chat",4.3
25,Other,56592,Working Professional,Sullivanshire,Married,Yes,EV,Daily,"Travel, Family, Commute","Comfort, Safety, Tech Features, Brand, Model Variety","Toyota, Hyundai",Somewhat,Likely,17641,Easy swaps,3-6 months,Not Sure,"Availability, Condition of vehicle, Return process",Health place set officer live matter thus loss pay industry.,Every 2-3 years,Very Comfortable,No,Offers/Discounts,5.0
32,Female,61684,Retired,East Jerome,Married,Yes,Hatchback,Rarely,"Other, Commute","Tech Features, Sustainability","Honda, Audi, BMW",No,Likely,19831,Insurance included,<3 months,No,"Return process, Cost, Condition of vehicle",Provide strong rise single himself they kind.,Every 2-3 years,Not Comfortable,Yes,"Ratings, Offers/Discounts",4.3
23,Female,56866,Student,Owensberg,Married,Yes,Luxury,Weekends only,"Commute, Business","Model Variety, Comfort, Safety",BMW,No,Very Likely,14245,Monthly flexibility,<3 months,Yes,"Support, Availability, Insurance",Score new reveal sit.,Every 2-3 years,Somewhat,No,"Swap History, Ratings",3.7
28,Female,75117,Business Owner,Cathyport,Single,Yes,Other,Rarely,Family,"Model Variety, Sustainability","Kia, Hyundai",Yes,Neutral,10751,Digital platform,3-6 months,Yes,Support,Fear happen must join prevent small step.,Every 2-3 years,Somewhat,Yes,"Ratings, Offers/Discounts",2.9
42,Female,49916,Other,Lake Rebecca,Married,Yes,SUV,Few times a week,"Business, Travel, Other","Safety, Fuel Type",Kia,Yes,Unlikely,27642,Monthly flexibility,6-12 months,Yes,Trust,Stay sort nearly mother.,I don’t care,Very Comfortable,No,Model Filters,4.1
26,Female,60031,Working Professional,New Clintonberg,Single,Yes,Sedan,Few times a week,"Other, Business, Family","Brand, Model Variety",Tata,Somewhat,Likely,9567,Monthly flexibility,<3 months,Yes,"Insurance, Condition of vehicle, Return process",Husband of many they laugh give side describe.,Rarely,Not Comfortable,Yes,"Ratings, Offers/Discounts, Easy UI",3.7
40,Male,33624,Other,New Duaneport,Single,Yes,Luxury,Few times a week,Business,"Sustainability, Brand, Safety, Comfort, Fuel Type","Toyota, BMW",Yes,Likely,15275,Digital platform,<3 months,Not Sure,"Support, Trust",Green run need front remember.,Rarely,Somewhat,Yes,Swap History,4.7
20,Male,44193,Working Professional,West Kevinport,Single,Yes,Other,Rarely,Family,"Brand, Fuel Type, Sustainability, Tech Features, Safety",Kia,No,Neutral,18898,Easy swaps,<3 months,Yes,Return process,Moment little recently concern activity ahead sell.,I don’t care,Not Comfortable,No,"Offers/Discounts, Model Filters",1.8
37,Female,60433,Working Professional,South Joshuamouth,Married,Yes,Hatchback,Rarely,Travel,"Tech Features, Safety",Audi,Somewhat,Very Likely,20755,"No down payment, Digital platform, Monthly flexibility",3-6 months,Yes,"Support, Availability, Cost",Time similar foreign daughter order create worry argue alone describe.,Once a year,Very Comfortable,Yes,"Swap History, Easy UI",3.8
46,Male,62736,Retired,Lawrencefort,Married,Yes,EV,Daily,"Other, Family","Fuel Type, Sustainability, Model Variety, Safety","BMW, Toyota",Yes,Neutral,12164,"Insurance included, Monthly flexibility, Digital platform",>1 year,Yes,"Support, Return process",My hundred amount meeting window.,I don’t care,Very Comfortable,Yes,"Offers/Discounts, Model Filters",4.5
18,Male,45590,Retired,East Jodyville,Single,Yes,Sedan,Weekends only,Business,Fuel Type,"BMW, Hyundai, Tata",No,Neutral,5625,Digital platform,<3 months,No,"Condition of vehicle, Availability, Support",Whether attorney second institution election manage.,Once a year,Not Comfortable,No,Live Chat,4.2
24,Male,48926,Retired,Farmermouth,Married,Yes,Other,Rarely,Leisure,"Brand, Model Variety, Fuel Type, Comfort, Tech Features","Kia, Tesla, Hyundai",No,Very Likely,12048,"Monthly flexibility, Easy swaps, Roadside assistance",<3 months,Yes,"Cost, Insurance, Availability",Newspaper gas week yard hard group fire.,Once a year,Neutral,No,Model Filters,3.6
37,Male,27231,Freelancer,Thomasbury,Divorced,Yes,SUV,Daily,"Travel, Business","Safety, Tech Features, Fuel Type","BMW, Tesla",No,Very Likely,19306,"Monthly flexibility, Digital platform, No down payment",<3 months,Yes,Return process,Hair movement well goal.,Rarely,Very Comfortable,Yes,Easy UI,3.6
29,Female,44644,Working Professional,Michellefort,Single,Yes,Other,Rarely,"Commute, Business, Family","Model Variety, Safety, Tech Features, Fuel Type, Sustainability","Toyota, Audi, Maruti",No,Neutral,18187,"No down payment, Monthly flexibility, Easy swaps",>1 year,Yes,Insurance,Rule describe window team.,Every 2-3 years,Very Comfortable,No,"Ratings, Model Filters",2.7
35,Female,63355,Business Owner,East Kenneth,Single,Yes,Luxury,Daily,"Family, Leisure, Other","Model Variety, Brand, Fuel Type, Sustainability",Tata,Yes,Likely,18350,"Monthly flexibility, Easy swaps, Digital platform",>1 year,No,Return process,Theory north right process unit yes floor garden election.,Rarely,Very Comfortable,Yes,"Swap History, Model Filters",4.5
25,Male,58628,Other,West Austinberg,Married,Yes,Two-Wheeler,Daily,Commute,"Tech Features, Sustainability","Audi, Tata, Maruti",No,Very Likely,18558,Insurance included,<3 months,Yes,"Insurance, Return process, Availability",Often central American work improve wind social final spend yeah.,Rarely,Very Comfortable,Yes,Ratings,4.5
32,Male,57509,Retired,Edwardland,Single,Yes,Luxury,Weekends only,"Other, Commute, Leisure","Fuel Type, Sustainability, Model Variety, Tech Features","Honda, Kia",No,Unlikely,21700,"Insurance included, No down payment, Roadside assistance",<3 months,No,"Return process, Trust",Agreement thing goal technology attention.,I don’t care,Not Comfortable,Yes,"Model Filters, Swap History",2.3
30,Male,50746,Retired,Veronicaville,Married,Yes,Other,Rarely,"Family, Leisure","Comfort, Sustainability, Fuel Type, Safety","Other, Hyundai",No,Likely,11120,"Monthly flexibility, Insurance included, Easy swaps",6-12 months,Yes,"Trust, Return process",Suddenly approach example writer child truth friend increase animal federal.,I don’t care,Not Comfortable,Yes,"Swap History, Model Filters, Live Chat",4.9
43,Female,50105,Other,New Martinview,Single,Yes,Sedan,Daily,Commute,"Safety, Brand, Model Variety, Tech Features",Tata,Yes,Likely,9010,"Easy swaps, Monthly flexibility",>1 year,Yes,Support,Assume center economy thank treat fill either evening tonight name.,Once a year,Not Comfortable,Yes,"Live Chat, Ratings",3.2
34,Female,40095,Other,South Tiffany,Single,Yes,Other,Few times a week,Family,"Sustainability, Model Variety, Safety",Tesla,No,Likely,16852,"Easy swaps, Insurance included",6-12 months,Yes,"Cost, Availability",Result present bill on according remain one production east subject.,I don’t care,Not Comfortable,Yes,"Ratings, Model Filters",3.5
35,Male,60482,Working Professional,Bradyland,Married,No,Other,Few times a week,Leisure,"Fuel Type, Tech Features","Tata, BMW, Toyota",Somewhat,Neutral,9757,"Roadside assistance, Easy swaps, Digital platform",<3 months,Yes,"Condition of vehicle, Return process",Ask near project effort.,Once a year,Neutral,No,"Offers/Discounts, Easy UI",5.0
27,Female,56314,Retired,East Andrewbury,Married,Yes,Hatchback,Few times a week,"Leisure, Commute, Other",Tech Features,"Audi, Tata",No,Likely,8695,Digital platform,<3 months,Yes,"Return process, Trust, Insurance",Member computer present forget another some turn author.,Once a year,Not Comfortable,Yes,"Easy UI, Offers/Discounts",5.0
27,Female,57380,Other,Robertsville,Married,Yes,SUV,Weekends only,"Business, Other, Travel",Brand,"Tata, Toyota",No,Never,21119,"Roadside assistance, Monthly flexibility, Easy swaps",<3 months,Yes,"Cost, Return process, Availability",Relationship expect woman force shake capital center where television answer.,Every 2-3 years,Not Comfortable,No,"Offers/Discounts, Ratings",2.3
27,Female,42109,Freelancer,Port Christine,Married,No,Sedan,Daily,"Travel, Other, Family","Tech Features, Brand, Safety, Comfort, Fuel Type","Honda, Hyundai",No,Unlikely,16251,"No down payment, Roadside assistance",<3 months,No,"Cost, Condition of vehicle, Availability",Later myself somebody opportunity market.,Every 2-3 years,Very Comfortable,No,"Swap History, Model Filters, Live Chat",2.5
35,Female,17699,Freelancer,East Matthew,Married,No,Other,Weekends only,"Family, Leisure, Business","Brand, Safety","Toyota, Tata",Somewhat,Very Likely,15142,Roadside assistance,3-6 months,Yes,"Condition of vehicle, Support, Trust",Program candidate example audience whom former.,Rarely,Neutral,Yes,"Ratings, Model Filters, Offers/Discounts",2.7
27,Male,66457,Retired,North Anthonybury,Married,Yes,EV,Rarely,Business,"Safety, Sustainability, Comfort","BMW, Honda",Somewhat,Likely,15246,Easy swaps,3-6 months,Yes,"Return process, Insurance, Availability",Another style executive enjoy member our baby off reduce few central.,Every 2-3 years,Very Comfortable,No,"Easy UI, Swap History",5.0
34,Female,42817,Other,South Matthewview,Single,Yes,SUV,Rarely,"Other, Family","Fuel Type, Comfort",Maruti,Yes,Likely,14469,Insurance included,3-6 months,Not Sure,"Return process, Condition of vehicle, Insurance",Then listen discuss even door simple month.,Once a year,Neutral,No,"Model Filters, Swap History, Live Chat",3.3
52,Male,37058,Working Professional,Anthonyshire,Married,Yes,Luxury,Daily,"Travel, Commute","Sustainability, Safety","Other, Honda, Hyundai",No,Neutral,21086,"Digital platform, Easy swaps",6-12 months,Yes,"Support, Cost",Office leader black soldier right story number remember.,I don’t care,Somewhat,Yes,"Live Chat, Ratings, Easy UI",2.2
40,Female,60402,Working Professional,South Kelly,Single,Yes,Sedan,Few times a week,"Travel, Commute","Model Variety, Comfort, Safety","Honda, Kia",Yes,Unlikely,7426,"Monthly flexibility, No down payment, Digital platform",>1 year,No,"Availability, Condition of vehicle",Sometimes traditional again join development knowledge lead.,Every 2-3 years,Neutral,Yes,"Model Filters, Live Chat, Swap History",5.0
28,Female,44119,Working Professional,South Christopher,Married,Yes,Luxury,Daily,"Business, Other","Brand, Comfort, Fuel Type, Sustainability, Safety","Tata, Maruti, BMW",No,Neutral,7219,Easy swaps,<3 months,Not Sure,"Trust, Support, Cost",Season maintain hear important story agent.,Every 2-3 years,Neutral,No,"Offers/Discounts, Swap History",4.7
44,Female,65899,Student,Rodriguezmouth,Single,Yes,Other,Daily,Commute,"Sustainability, Safety","BMW, Kia, Tata",Yes,Very Likely,10318,"Digital platform, Insurance included",>1 year,Yes,"Condition of vehicle, Insurance, Trust",Fire start follow business local add agent southern.,Every 2-3 years,Very Comfortable,No,"Model Filters, Swap History, Ratings",5.0
27,Female,59255,Retired,Kristinfort,Married,Yes,Luxury,Daily,"Family, Commute","Sustainability, Safety",Toyota,Somewhat,Neutral,16445,No down payment,3-6 months,No,"Return process, Cost",Occur detail hour news miss sort.,Every 2-3 years,Neutral,No,Easy UI,4.7
18,Male,60253,Working Professional,Zamoraton,Single,No,Luxury,Weekends only,"Commute, Travel, Business","Comfort, Model Variety",Other,Yes,Very Likely,24026,No down payment,<3 months,Yes,"Condition of vehicle, Availability, Cost",Black close vote ok.,Once a year,Neutral,Yes,"Swap History, Ratings",4.0
21,Female,29510,Freelancer,East Tyler,Married,No,Hatchback,Rarely,"Travel, Other","Safety, Sustainability",Maruti,No,Unlikely,19345,"Easy swaps, Roadside assistance",<3 months,Yes,Support,Happen risk after focus bad chair PM mean big father.,Once a year,Very Comfortable,Yes,Model Filters,4.3
18,Prefer not to say,68179,Other,Lynchmouth,Married,Yes,Luxury,Daily,"Commute, Business, Leisure","Tech Features, Sustainability","Tesla, BMW, Audi",No,Neutral,17962,"Roadside assistance, No down payment, Easy swaps",6-12 months,Yes,"Insurance, Cost, Condition of vehicle",Onto before teacher century skill among add.,Rarely,Somewhat,Yes,"Offers/Discounts, Model Filters",3.5
28,Female,53918,Business Owner,Lake Brianmouth,Single,Yes,EV,Daily,"Travel, Business","Fuel Type, Brand, Model Variety, Comfort","Audi, Hyundai, Honda",Yes,Likely,14600,"No down payment, Insurance included, Digital platform",>1 year,Yes,Availability,Accept rate first part growth offer I his next force.,I don’t care,Somewhat,Yes,"Offers/Discounts, Ratings",5.0
32,Male,44460,Business Owner,Port Pam,Married,Yes,EV,Daily,"Leisure, Commute, Business","Brand, Fuel Type","Honda, Other, Kia",Somewhat,Likely,8337,"Roadside assistance, No down payment",6-12 months,Yes,Insurance,Physical age spend market health often mission interesting town floor.,Rarely,Somewhat,Yes,"Live Chat, Swap History",5.0
48,Male,52150,Working Professional,West Michael,Single,No,SUV,Weekends only,Family,"Model Variety, Brand, Sustainability","Audi, BMW",Somewhat,Unlikely,17574,No down payment,3-6 months,Yes,"Condition of vehicle, Support",Your drive from indeed boy relationship indeed audience.,Rarely,Neutral,Yes,"Swap History, Model Filters, Live Chat",2.1
35,Male,23356,Business Owner,Katieport,Married,Yes,Other,Weekends only,"Commute, Travel, Leisure","Sustainability, Fuel Type, Comfort, Safety, Model Variety",BMW,No,Unlikely,25129,"No down payment, Easy swaps, Insurance included",>1 year,Yes,Trust,Important really list soldier family reality marriage.,Every 2-3 years,Very Comfortable,Yes,"Offers/Discounts, Live Chat",5.0
29,Female,56129,Business Owner,West Manuel,Married,Yes,Two-Wheeler,Weekends only,Leisure,Brand,Other,No,Likely,13799,Monthly flexibility,3-6 months,Yes,"Condition of vehicle, Return process, Trust",Inside popular well student head can morning least Mr.,I don’t care,Somewhat,No,Offers/Discounts,2.7
40,Female,34559,Student,East Johnmouth,Single,Yes,Luxury,Daily,"Business, Other, Leisure","Brand, Tech Features, Safety",Kia,Yes,Likely,12196,Digital platform,6-12 months,Yes,"Condition of vehicle, Support",Speech front tend top identify.,Every 2-3 years,Somewhat,Yes,"Live Chat, Model Filters, Offers/Discounts",5.0
18,Male,29709,Freelancer,North Donna,Divorced,Yes,Luxury,Few times a week,"Family, Other","Sustainability, Tech Features, Fuel Type","Honda, BMW, Tata",No,Neutral,13823,"No down payment, Digital platform, Insurance included",6-12 months,Yes,Support,Page standard him people degree whole fill customer according why.,Once a year,Somewhat,Yes,"Live Chat, Ratings",5.0
34,Female,27164,Freelancer,South Isabelville,Single,Yes,Sedan,Few times a week,"Business, Family","Safety, Sustainability, Model Variety, Comfort, Fuel Type","Tata, Maruti",Yes,Very Likely,17998,"Digital platform, Monthly flexibility, No down payment",<3 months,Yes,"Trust, Availability",Official back research try never painting type hundred.,Rarely,Somewhat,No,Swap History,2.6
39,Female,66690,Student,North Lauren,Single,No,Hatchback,Few times a week,"Travel, Commute, Family","Fuel Type, Safety, Brand, Sustainability","Kia, Honda",No,Very Likely,15558,Easy swaps,>1 year,Yes,"Availability, Cost",Agreement us recently tend five fear painting half.,I don’t care,Very Comfortable,No,"Easy UI, Ratings, Model Filters",4.3
18,Female,40561,Student,Garrettmouth,Divorced,Yes,Two-Wheeler,Rarely,Family,"Model Variety, Safety, Comfort, Fuel Type","Audi, Honda, Toyota",Somewhat,Very Likely,19550,"Insurance included, Roadside assistance",>1 year,Yes,"Trust, Availability",Model decide try himself join bring.,Once a year,Somewhat,Yes,"Swap History, Easy UI, Ratings",5.0
43,Female,73005,Business Owner,Lake Zachary,Single,Yes,SUV,Daily,Travel,"Comfort, Sustainability, Safety","Audi, Hyundai, Maruti",Yes,Very Likely,14832,Monthly flexibility,<3 months,Yes,"Condition of vehicle, Return process, Trust",Air baby force national individual order war.,Rarely,Neutral,Yes,"Live Chat, Swap History",3.3
35,Female,41962,Retired,Amyton,Other,Yes,Two-Wheeler,Few times a week,"Business, Family, Travel",Safety,"Tata, Toyota",Somewhat,Neutral,13794,"Roadside assistance, Easy swaps",>1 year,Not Sure,"Return process, Trust, Cost",Century have mouth cold again work add loss new material.,I don’t care,Neutral,No,Ratings,2.4
27,Female,24389,Other,Reedtown,Divorced,Yes,Luxury,Few times a week,"Other, Travel, Leisure","Comfort, Model Variety","BMW, Honda, Other",Yes,Never,16145,No down payment,3-6 months,Not Sure,"Availability, Cost, Return process",However author evidence individual particularly mother.,Rarely,Very Comfortable,Yes,"Model Filters, Swap History",4.1
38,Male,33252,Other,Jessicafurt,Single,No,Sedan,Few times a week,"Commute, Travel","Brand, Safety","BMW, Kia, Hyundai",Somewhat,Neutral,12301,"Digital platform, Monthly flexibility, No down payment",3-6 months,Yes,Cost,Central traditional relate simple ability picture discussion investment sell attorney my.,I don’t care,Not Comfortable,No,"Model Filters, Swap History, Easy UI",3.8
54,Female,68537,Business Owner,North Sierra,Married,No,Other,Daily,"Leisure, Family, Travel","Model Variety, Sustainability, Tech Features",Tesla,Yes,Very Likely,23703,No down payment,6-12 months,No,"Return process, Availability, Support",Once thank wish front over name read man listen.,Rarely,Somewhat,Yes,"Model Filters, Offers/Discounts",2.9
33,Female,47661,Other,Lake Jessicaberg,Single,No,Hatchback,Few times a week,"Other, Business, Leisure","Fuel Type, Safety",Maruti,No,Neutral,19115,Insurance included,3-6 months,Yes,Trust,Whom spend bag impact suggest fact have.,Every 2-3 years,Somewhat,Yes,"Easy UI, Swap History, Live Chat",5.0
34,Female,41775,Student,Lisaton,Single,No,Other,Few times a week,"Other, Commute, Family",Tech Features,"Honda, Audi",Yes,Likely,9501,"No down payment, Insurance included",>1 year,Yes,"Trust, Support",Enjoy learn which south guess around animal.,Rarely,Neutral,Yes,"Ratings, Live Chat, Model Filters",2.5
27,Female,52400,Freelancer,West Kimberly,Single,Yes,SUV,Daily,"Business, Family, Leisure","Comfort, Fuel Type","Other, Maruti",Somewhat,Very Likely,11271,"Easy swaps, No down payment",<3 months,Not Sure,"Insurance, Availability, Return process",Argue someone condition necessary enter shake debate.,Rarely,Very Comfortable,Yes,"Swap History, Ratings",3.9
23,Female,57526,Other,Lake Jorge,Single,Yes,Two-Wheeler,Rarely,"Other, Travel, Commute",Comfort,Kia,No,Never,17826,No down payment,6-12 months,Yes,Trust,Whether hope family when style type scene various.,I don’t care,Not Comfortable,Yes,"Live Chat, Offers/Discounts",4.2
40,Male,66760,Business Owner,Johnsonfort,Single,Yes,SUV,Weekends only,"Other, Business, Family","Comfort, Model Variety, Safety, Tech Features","Other, BMW, Kia",Yes,Likely,15916,Roadside assistance,<3 months,Not Sure,"Return process, Trust",Wide city rest evening soldier participant my light.,I don’t care,Neutral,Yes,Offers/Discounts,4.4
23,Male,71727,Retired,Snydertown,Single,No,Luxury,Few times a week,Family,"Brand, Model Variety, Sustainability, Tech Features","Toyota, Tata",No,Never,16512,"Easy swaps, Monthly flexibility",6-12 months,Yes,Cost,Pull star very able forget past adult.,Every 2-3 years,Not Comfortable,No,Live Chat,5.0
32,Male,44603,Business Owner,Port Michelemouth,Divorced,Yes,SUV,Weekends only,"Leisure, Other","Safety, Model Variety, Tech Features, Brand, Fuel Type","Maruti, Tata, Kia",No,Likely,14039,"Monthly flexibility, Easy swaps, Roadside assistance",6-12 months,Yes,"Availability, Trust, Condition of vehicle",Prove feeling respond left week air full want policy democratic.,I don’t care,Very Comfortable,Yes,"Easy UI, Swap History, Offers/Discounts",3.7
27,Male,30109,Working Professional,Lake Anthony,Married,Yes,Other,Rarely,"Business, Leisure","Brand, Model Variety",Tesla,No,Neutral,17275,"Digital platform, No down payment, Roadside assistance",<3 months,Yes,Return process,Drive push collection somebody task laugh story.,Rarely,Very Comfortable,Yes,"Model Filters, Live Chat, Swap History",1.0
36,Female,43798,Business Owner,Russoton,Married,No,Sedan,Rarely,Leisure,"Model Variety, Safety, Comfort","Toyota, Audi",Somewhat,Very Likely,14156,No down payment,3-6 months,Yes,"Condition of vehicle, Insurance, Support",Nor city over term increase capital former.,I don’t care,Very Comfortable,No,Ratings,3.5
35,Prefer not to say,53904,Student,Barryport,Married,Yes,SUV,Few times a week,Commute,"Safety, Tech Features, Brand, Fuel Type, Sustainability",Hyundai,No,Likely,17816,No down payment,3-6 months,Yes,"Trust, Condition of vehicle, Availability",Trade still soon something fill south mother station up.,I don’t care,Neutral,Yes,"Offers/Discounts, Easy UI",4.9
42,Male,35543,Freelancer,East Brianburgh,Married,Yes,EV,Daily,"Commute, Travel","Comfort, Safety","Tesla, BMW",Yes,Likely,18865,"Monthly flexibility, No down payment",3-6 months,Yes,"Insurance, Support, Condition of vehicle",Sister at room produce win summer movie than exist.,I don’t care,Very Comfortable,No,"Swap History, Model Filters",3.8
26,Male,35642,Freelancer,Garciaside,Single,Yes,Sedan,Rarely,"Other, Travel, Commute","Sustainability, Comfort, Model Variety, Safety",Kia,Yes,Unlikely,23033,"Monthly flexibility, No down payment, Digital platform",3-6 months,No,"Trust, Availability, Cost",Nice bit language them test peace majority.,Every 2-3 years,Neutral,No,Swap History,3.8
29,Female,55156,Other,North Josephshire,Married,Yes,Two-Wheeler,Weekends only,"Family, Travel, Leisure","Safety, Model Variety, Sustainability, Tech Features",Toyota,No,Unlikely,12426,No down payment,<3 months,Yes,"Return process, Availability",Catch produce major maintain quickly.,Every 2-3 years,Neutral,Yes,Easy UI,4.6
22,Male,49270,Student,Port Pamela,Other,Yes,Hatchback,Weekends only,"Business, Leisure, Travel","Tech Features, Safety, Fuel Type, Model Variety, Sustainability",Tata,No,Unlikely,14944,"Easy swaps, Digital platform, Roadside assistance",>1 year,Yes,"Trust, Return process, Insurance",And truth campaign home not impact similar check line.,Once a year,Somewhat,Yes,"Offers/Discounts, Ratings, Easy UI",4.8
27,Female,50491,Working Professional,West Franciscohaven,Single,No,Hatchback,Weekends only,Other,"Comfort, Safety, Tech Features","Kia, Toyota",Yes,Unlikely,8905,"Monthly flexibility, Insurance included, Easy swaps",6-12 months,Yes,"Insurance, Availability, Condition of vehicle",Stuff worry late act stuff course pressure over quickly bank.,Every 2-3 years,Neutral,No,"Ratings, Model Filters",1.9
35,Female,38622,Student,Lake Alisha,Married,Yes,Luxury,Weekends only,"Leisure, Business, Commute",Model Variety,"Kia, Other",Yes,Unlikely,24131,"Roadside assistance, Easy swaps, Monthly flexibility",<3 months,Not Sure,Insurance,Send bank get lose I trade wide care once after.,Every 2-3 years,Neutral,Yes,"Offers/Discounts, Ratings",4.0
39,Female,46543,Business Owner,East Omarton,Married,No,Luxury,Rarely,"Family, Leisure","Comfort, Model Variety, Brand, Safety","Kia, Tesla, Toyota",No,Likely,5122,"Monthly flexibility, Digital platform, No down payment",3-6 months,Yes,"Trust, Condition of vehicle",Left executive window garden actually.,Every 2-3 years,Somewhat,Yes,"Model Filters, Live Chat, Ratings",3.8
22,Male,36136,Student,Isabelton,Divorced,Yes,EV,Few times a week,"Travel, Family","Safety, Sustainability","Tata, Toyota",Somewhat,Likely,23414,"Roadside assistance, Monthly flexibility",3-6 months,Yes,"Insurance, Availability, Support",Message move space minute event study fly under six foot.,Rarely,Not Comfortable,No,"Easy UI, Swap History",4.1
40,Male,63352,Student,South Austin,Married,Yes,Two-Wheeler,Few times a week,"Business, Leisure, Travel","Sustainability, Model Variety, Safety, Brand","Audi, Tata, Other",Yes,Neutral,15467,"Digital platform, No down payment",<3 months,Not Sure,"Insurance, Availability",Low hour rule Democrat general environmental.,Once a year,Somewhat,No,"Swap History, Model Filters",1.6
45,Female,65528,Working Professional,South Stephanie,Single,No,Other,Weekends only,"Business, Leisure","Comfort, Safety",Honda,No,Neutral,17092,Easy swaps,6-12 months,Yes,"Return process, Trust, Condition of vehicle",Claim fall none employee measure today teach another run.,Rarely,Somewhat,No,"Live Chat, Ratings, Swap History",5.0
36,Female,22307,Business Owner,Cortezfurt,Single,Yes,Hatchback,Few times a week,"Other, Travel","Brand, Safety, Tech Features, Sustainability, Comfort",Maruti,No,Unlikely,14171,"Easy swaps, Monthly flexibility, Digital platform",<3 months,Yes,"Support, Condition of vehicle",Ever look military where positive bill result crime test church.,Every 2-3 years,Very Comfortable,Yes,Live Chat,4.0
50,Male,36057,Retired,Alisonside,Single,Yes,Hatchback,Weekends only,"Business, Family","Tech Features, Model Variety, Safety, Brand",Tata,No,Likely,15155,"Roadside assistance, Digital platform",<3 months,Not Sure,Condition of vehicle,Work environmental seat through.,Every 2-3 years,Very Comfortable,Yes,Swap History,4.5
24,Female,27552,Retired,Gomezfurt,Married,No,Hatchback,Weekends only,"Travel, Other","Safety, Comfort, Fuel Type, Brand",Audi,Yes,Very Likely,17940,No down payment,>1 year,No,"Support, Availability",Idea open box everything news report clear factor down say cup.,Once a year,Somewhat,Yes,Easy UI,5.0
19,Male,40249,Freelancer,Thomasborough,Single,Yes,Other,Daily,"Leisure, Other","Comfort, Model Variety, Sustainability, Safety, Tech Features","Tata, Audi",No,Never,6816,"Roadside assistance, Monthly flexibility, Easy swaps",<3 months,Yes,Support,Draw policy power fear final century assume church woman.,Once a year,Very Comfortable,Yes,Swap History,4.5
18,Female,48748,Other,Beasleychester,Married,Yes,Hatchback,Rarely,"Leisure, Family, Commute","Sustainability, Tech Features, Safety, Brand, Model Variety","Hyundai, Audi",Somewhat,Neutral,11739,Monthly flexibility,>1 year,Yes,"Trust, Return process",Glass view condition newspaper side interview describe ok prove.,I don’t care,Somewhat,Yes,"Ratings, Swap History, Model Filters",2.2
46,Male,28255,Student,Lake Dawnview,Single,Yes,SUV,Rarely,"Business, Family, Commute","Fuel Type, Comfort",Audi,Yes,Very Likely,10774,Easy swaps,6-12 months,No,Insurance,Top success themselves order beat single product letter Republican accept.,Every 2-3 years,Very Comfortable,Yes,"Offers/Discounts, Ratings",3.9
38,Female,36172,Freelancer,Cynthiaside,Single,Yes,Two-Wheeler,Weekends only,"Travel, Commute, Family","Sustainability, Brand","Tesla, Audi",No,Unlikely,17237,"Monthly flexibility, Digital platform",<3 months,Yes,"Trust, Insurance, Condition of vehicle",Part quite magazine condition class.,Every 2-3 years,Neutral,Yes,"Easy UI, Ratings, Swap History",4.8
31,Male,34940,Working Professional,Andersonport,Single,Yes,Sedan,Rarely,Leisure,"Safety, Sustainability, Comfort","Audi, Hyundai",Yes,Never,15021,"Roadside assistance, Digital platform",<3 months,Not Sure,"Availability, Trust, Insurance",Even analysis then detail seven sense past through.,Rarely,Very Comfortable,Yes,"Model Filters, Swap History",4.1
34,Male,53109,Retired,Johnsonshire,Married,Yes,Sedan,Few times a week,"Business, Travel","Model Variety, Brand, Tech Features","Tata, Hyundai, Toyota",Yes,Very Likely,18090,"Roadside assistance, Insurance included, Monthly flexibility",3-6 months,Yes,Insurance,Director even technology thought.,I don’t care,Very Comfortable,Yes,"Easy UI, Swap History, Live Chat",5.0
